time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2025/07/05/17:48:07.835147,9487,1751712487,834356029,,0.5120000243186951,0.5822492241859436,135,0.0,24.3799991607666,-0.003397361608222127
2025/07/05/17:48:07.974009,9488,1751712487,973532445,,0.5120000243186951,0.5836219787597656,133,0.0,24.3799991607666,-0.003457031911239028
2025/07/05/17:48:08.058045,9489,1751712488,57209883,,0.8230000138282776,0.5847678780555725,132,0.0,24.3799991607666,-0.0019407517975196242
2025/07/05/17:48:08.153847,9490,1751712488,153381528,,0.8230000138282776,0.5862785577774048,131,0.0,24.369998931884766,-0.007049655541777611
2025/07/05/17:48:08.275375,9491,1751712488,275030687,,0.8450000286102295,0.6001101732254028,130,0.0,24.369998931884766,-0.004735202994197607
2025/07/05/17:48:08.354678,9492,1751712488,354460012,,0.8450000286102295,0.6083652377128601,129,0.0,24.369998931884766,-0.003762420266866684
2025/07/05/17:48:08.574453,9493,1751712488,573894290,,0.5990000367164612,0.6168209314346313,129,0.0,24.369998931884766,0.00517281424254179
2025/07/05/17:48:08.654589,9494,1751712488,654230392,,0.8690000176429749,0.6281068325042725,130,0.0,24.369998931884766,-0.002131453715264797
2025/07/05/17:48:08.754073,9495,1751712488,753596963,,0.8690000176429749,0.6273350715637207,132,0.0,24.369998931884766,-0.01168760284781456
2025/07/05/17:48:08.834247,9496,1751712488,833486473,,0.5649999976158142,0.6280277371406555,132,0.0,24.369998931884766,-0.012895834632217884
2025/07/05/17:48:08.934541,9497,1751712488,934153600,,0.5649999976158142,0.6102754473686218,133,0.0,24.3799991607666,-0.0010792054235935211
2025/07/05/17:48:09.034363,9498,1751712489,33868497,,0.3100000023841858,0.6023905873298645,133,0.0,24.3799991607666,0.0006955636781640351
2025/07/05/17:48:09.134429,9499,1751712489,133660449,,0.3100000023841858,0.5880714654922485,132,0.0,24.3799991607666,-0.0038208013866096735
2025/07/05/17:48:09.233853,9500,1751712489,233343027,,0.7220000624656677,0.592075765132904,130,0.0,24.3799991607666,-0.007614305708557367
2025/07/05/17:48:09.334405,9501,1751712489,333761122,,0.7220000624656677,0.6276811957359314,129,0.0,24.3799991607666,-0.013012965209782124
2025/07/05/17:48:09.495691,9502,1751712489,495244935,,0.5260000228881836,0.6753974556922913,126,0.0,24.3799991607666,-0.007728342432528734
2025/07/05/17:48:09.596145,9503,1751712489,595505101,,0.7410000562667847,0.7006479501724243,125,0.0,24.3799991607666,-0.00388632551766932
2025/07/05/17:48:09.675478,9504,1751712489,674929508,,0.7410000562667847,0.7259597182273865,124,0.0,24.3799991607666,-0.0019254065118730068
2025/07/05/17:48:09.776263,9505,1751712489,775078059,,0.7410000562667847,0.7520673274993896,122,0.0,24.389999389648438,-0.010337955318391323
2025/07/05/17:48:09.855521,9506,1751712489,853991400,,0.8730000257492065,0.7747724056243896,121,0.0,24.3799991607666,-0.00979936495423317
2025/07/05/17:48:09.955006,9507,1751712489,954361334,,0.8730000257492065,0.8027373552322388,120,0.0,24.3799991607666,-0.007674011867493391
