time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.rssi,.channels
2025/07/05/17:48:26.233772,9666,1751712506,240147008,,255,()
2025/07/05/17:48:26.333956,9667,1751712506,341147008,,255,()
2025/07/05/17:48:26.494707,9668,1751712506,502147008,,255,()
2025/07/05/17:48:26.595471,9669,1751712506,601147008,,255,()
2025/07/05/17:48:26.674649,9670,1751712506,682147008,,255,()
2025/07/05/17:48:26.753758,9671,1751712506,761147008,,255,()
2025/07/05/17:48:26.854213,9672,1751712506,861147008,,255,()
2025/07/05/17:48:26.933695,9673,1751712506,941147008,,255,()
2025/07/05/17:48:27.053493,9674,1751712507,60147008,,255,()
2025/07/05/17:48:27.133535,9675,1751712507,140147008,,255,()
2025/07/05/17:48:27.236413,9676,1751712507,243147008,,255,()
2025/07/05/17:48:27.294549,9677,1751712507,302147008,,255,()
2025/07/05/17:48:27.436758,9678,1751712507,444147008,,255,()
2025/07/05/17:48:27.594789,9679,1751712507,601147008,,255,()
2025/07/05/17:48:27.653675,9680,1751712507,661147008,,255,()
2025/07/05/17:48:27.773517,9681,1751712507,780147008,,255,()
2025/07/05/17:48:27.894416,9682,1751712507,901147008,,255,()
2025/07/05/17:48:27.994027,9683,1751712508,1147008,,255,()
2025/07/05/17:48:28.074378,9684,1751712508,81147008,,255,()
2025/07/05/17:48:28.195399,9685,1751712508,202147008,,255,()
2025/07/05/17:48:28.254455,9686,1751712508,261147008,,255,()
2025/07/05/17:48:28.395138,9687,1751712508,402147008,,255,()
2025/07/05/17:48:28.534031,9688,1751712508,540147008,,255,()
2025/07/05/17:48:28.617874,9689,1751712508,624147008,,255,()
2025/07/05/17:48:28.733323,9690,1751712508,740147008,,255,()
2025/07/05/17:48:28.836541,9691,1751712508,844147008,,255,()
2025/07/05/17:48:28.975108,9692,1751712508,980147008,,255,()
2025/07/05/17:48:29.053941,9693,1751712509,61147008,,255,()
2025/07/05/17:48:29.153815,9694,1751712509,161147008,,255,()
2025/07/05/17:48:29.275095,9695,1751712509,281147008,,255,()
2025/07/05/17:48:29.417787,9696,1751712509,424147008,,255,()
2025/07/05/17:48:29.574932,9697,1751712509,580147008,,255,()
2025/07/05/17:48:29.635989,9698,1751712509,643147008,,255,()
2025/07/05/17:48:29.733571,9699,1751712509,741147008,,255,()
2025/07/05/17:48:29.836978,9700,1751712509,843147008,,255,()
2025/07/05/17:48:29.934124,9701,1751712509,940147008,,255,()
2025/07/05/17:48:30.014317,9702,1751712510,22147008,,255,()
2025/07/05/17:48:30.095334,9703,1751712510,101147008,,255,()
2025/07/05/17:48:30.194887,9704,1751712510,201147008,,255,()
2025/07/05/17:48:30.254941,9705,1751712510,260147008,,255,()
2025/07/05/17:48:30.353608,9706,1751712510,361147008,,255,()
2025/07/05/17:48:30.533899,9707,1751712510,541147008,,255,()
2025/07/05/17:48:30.635913,9708,1751712510,644147008,,255,()
2025/07/05/17:48:30.733182,9709,1751712510,740147008,,255,()
2025/07/05/17:48:30.817538,9710,1751712510,824147008,,255,()
2025/07/05/17:48:30.895272,9711,1751712510,902147008,,255,()
2025/07/05/17:48:30.995696,9712,1751712511,2147008,,255,()
2025/07/05/17:48:31.094518,9713,1751712511,101147008,,255,()
2025/07/05/17:48:31.195369,9714,1751712511,202147008,,255,()
2025/07/05/17:48:31.274908,9715,1751712511,280147008,,255,()
2025/07/05/17:48:31.395489,9716,1751712511,402147008,,255,()
2025/07/05/17:48:31.553700,9717,1751712511,560147008,,255,()
2025/07/05/17:48:31.675506,9718,1751712511,681147008,,255,()
2025/07/05/17:48:31.753710,9719,1751712511,760147008,,255,()
2025/07/05/17:48:31.853561,9720,1751712511,861147008,,255,()
2025/07/05/17:48:31.994967,9721,1751712512,2147008,,255,()
2025/07/05/17:48:32.054436,9722,1751712512,60147008,,255,()
2025/07/05/17:48:32.154032,9723,1751712512,160147008,,255,()
2025/07/05/17:48:32.233266,9724,1751712512,240147008,,255,()
2025/07/05/17:48:32.353880,9725,1751712512,360147008,,255,()
2025/07/05/17:48:32.514406,9726,1751712512,522147008,,255,()
2025/07/05/17:48:32.617511,9727,1751712512,624147008,,255,()
2025/07/05/17:48:32.695367,9728,1751712512,702147008,,255,()
2025/07/05/17:48:32.795781,9729,1751712512,802147008,,255,()
2025/07/05/17:48:32.894153,9730,1751712512,901147008,,255,()
2025/07/05/17:48:32.995079,9731,1751712513,1147008,,255,()
2025/07/05/17:48:33.055703,9732,1751712513,60147008,,255,()
2025/07/05/17:48:33.175138,9733,1751712513,180147008,,255,()
2025/07/05/17:48:33.275068,9734,1751712513,280147008,,255,()
2025/07/05/17:48:33.353796,9735,1751712513,361147008,,255,()
2025/07/05/17:48:33.533463,9736,1751712513,540147008,,255,()
2025/07/05/17:48:33.635877,9737,1751712513,644147008,,255,()
2025/07/05/17:48:33.754185,9738,1751712513,760147008,,255,()
2025/07/05/17:48:33.833520,9739,1751712513,841147008,,255,()
2025/07/05/17:48:33.953836,9740,1751712513,961147008,,255,()
2025/07/05/17:48:34.053663,9741,1751712514,61147008,,255,()
2025/07/05/17:48:34.176086,9742,1751712514,180147008,,255,()
2025/07/05/17:48:34.253671,9743,1751712514,260147008,,255,()
2025/07/05/17:48:34.394514,9744,1751712514,401147008,,255,()
2025/07/05/17:48:34.575160,9745,1751712514,580147008,,255,()
2025/07/05/17:48:34.653609,9746,1751712514,661147008,,255,()
2025/07/05/17:48:34.753600,9747,1751712514,761147008,,255,()
2025/07/05/17:48:34.833004,9748,1751712514,840147008,,255,()
2025/07/05/17:48:34.974973,9749,1751712514,981147008,,255,()
2025/07/05/17:48:35.053743,9750,1751712515,60147008,,255,()
2025/07/05/17:48:35.153682,9751,1751712515,161147008,,255,()
2025/07/05/17:48:35.253486,9752,1751712515,261147008,,255,()
2025/07/05/17:48:35.353499,9753,1751712515,361147008,,255,()
2025/07/05/17:48:35.574819,9754,1751712515,580147008,,255,()
2025/07/05/17:48:35.653806,9755,1751712515,661147008,,255,()
2025/07/05/17:48:35.753400,9756,1751712515,760147008,,255,()
2025/07/05/17:48:35.853445,9757,1751712515,861147008,,255,()
2025/07/05/17:48:35.994307,9758,1751712516,1147008,,255,()
2025/07/05/17:48:36.094430,9759,1751712516,102147008,,255,()
2025/07/05/17:48:36.194580,9760,1751712516,202147008,,255,()
2025/07/05/17:48:36.294340,9761,1751712516,301147008,,255,()
2025/07/05/17:48:36.436171,9762,1751712516,443147008,,255,()
2025/07/05/17:48:36.594169,9763,1751712516,601147008,,255,()
2025/07/05/17:48:36.654641,9764,1751712516,661147008,,255,()
2025/07/05/17:48:36.774962,9765,1751712516,781147008,,255,()
2025/07/05/17:48:36.853741,9766,1751712516,861147008,,255,()
2025/07/05/17:48:36.994693,9767,1751712517,2147008,,255,()
2025/07/05/17:48:37.094170,9768,1751712517,101147008,,255,()
2025/07/05/17:48:37.194962,9769,1751712517,202147008,,255,()
2025/07/05/17:48:37.255525,9770,1751712517,260147008,,255,()
2025/07/05/17:48:37.353343,9771,1751712517,361147008,,255,()
2025/07/05/17:48:37.533651,9772,1751712517,541147008,,255,()
2025/07/05/17:48:37.636419,9773,1751712517,644147008,,255,()
2025/07/05/17:48:37.732819,9774,1751712517,741147008,,255,()
2025/07/05/17:48:37.836228,9775,1751712517,844147008,,255,()
2025/07/05/17:48:37.974972,9776,1751712517,980147008,,255,()
2025/07/05/17:48:38.053732,9777,1751712518,60147008,,255,()
2025/07/05/17:48:38.153374,9778,1751712518,161147008,,255,()
2025/07/05/17:48:38.253175,9779,1751712518,261147008,,255,()
2025/07/05/17:48:38.353580,9780,1751712518,361147008,,255,()
2025/07/05/17:48:38.574493,9781,1751712518,580147008,,255,()
2025/07/05/17:48:38.653375,9782,1751712518,661147008,,255,()
2025/07/05/17:48:38.774843,9783,1751712518,780147008,,255,()
2025/07/05/17:48:38.853283,9784,1751712518,861147008,,255,()
2025/07/05/17:48:38.994644,9785,1751712519,2147008,,255,()
2025/07/05/17:48:39.054629,9786,1751712519,61147008,,255,()
2025/07/05/17:48:39.175263,9787,1751712519,180147008,,255,()
2025/07/05/17:48:39.253457,9788,1751712519,261147008,,255,()
2025/07/05/17:48:39.353248,9789,1751712519,361147008,,255,()
2025/07/05/17:48:39.533647,9790,1751712519,541147008,,255,()
2025/07/05/17:48:39.635940,9791,1751712519,644147008,,255,()
