time,.data
2025/07/05/17:48:52.972961,-3.567
2025/07/05/17:48:53.073272,-3.563
2025/07/05/17:48:53.173057,-3.561
2025/07/05/17:48:53.252634,-3.559
2025/07/05/17:48:53.352452,-3.557
2025/07/05/17:48:53.552953,-3.548
2025/07/05/17:48:53.653068,-3.549
2025/07/05/17:48:53.752882,-3.55
2025/07/05/17:48:53.853065,-3.55
2025/07/05/17:48:53.973122,-3.547
2025/07/05/17:48:54.053045,-3.543
2025/07/05/17:48:54.152972,-3.538
2025/07/05/17:48:54.252701,-3.533
2025/07/05/17:48:54.352529,-3.53
2025/07/05/17:48:54.532491,-3.526
2025/07/05/17:48:54.632135,-3.524
2025/07/05/17:48:54.732898,-3.523
2025/07/05/17:48:54.835315,-3.521
2025/07/05/17:48:54.932731,-3.517
2025/07/05/17:48:55.013774,-3.513
2025/07/05/17:48:55.093142,-3.511
2025/07/05/17:48:55.194614,-3.508
2025/07/05/17:48:55.272918,-3.51
2025/07/05/17:48:55.394593,-3.514
2025/07/05/17:48:55.552308,-3.516
2025/07/05/17:48:55.652887,-3.52
2025/07/05/17:48:55.753012,-3.525
2025/07/05/17:48:55.832239,-3.528
2025/07/05/17:48:55.952755,-3.531
2025/07/05/17:48:56.052317,-3.53
2025/07/05/17:48:56.152516,-3.527
2025/07/05/17:48:56.232211,-3.524
2025/07/05/17:48:56.331870,-3.522
2025/07/05/17:48:56.472864,-3.519
2025/07/05/17:48:56.572772,-3.518
2025/07/05/17:48:56.673407,-3.514
2025/07/05/17:48:56.773213,-3.511
2025/07/05/17:48:56.855629,-3.51
2025/07/05/17:48:56.932173,-3.511
2025/07/05/17:48:57.035740,-3.513
2025/07/05/17:48:57.132361,-3.51
2025/07/05/17:48:57.235201,-3.503
2025/07/05/17:48:57.333075,-3.49
2025/07/05/17:48:57.493510,-3.473
2025/07/05/17:48:57.633040,-3.461
2025/07/05/17:48:57.732274,-3.455
2025/07/05/17:48:57.835394,-3.453
2025/07/05/17:48:57.932317,-3.451
2025/07/05/17:48:58.035198,-3.449
2025/07/05/17:48:58.131569,-3.444
2025/07/05/17:48:58.234675,-3.439
2025/07/05/17:48:58.332457,-3.435
2025/07/05/17:48:58.513310,-3.426
2025/07/05/17:48:58.613785,-3.422
2025/07/05/17:48:58.692889,-3.415
2025/07/05/17:48:58.772419,-3.41
2025/07/05/17:48:58.872245,-3.402
2025/07/05/17:48:58.993033,-3.395
2025/07/05/17:48:59.072500,-3.39
2025/07/05/17:48:59.171753,-3.386
2025/07/05/17:48:59.251695,-3.384
