time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:15.295218,9560,1751712495,294371633,,1751712495,81486000,fcu
2025/07/05/17:48:15.374160,9561,1751712495,373797216,,1751712495,161155000,fcu
2025/07/05/17:48:15.554216,9562,1751712495,554082056,,1751712495,341140000,fcu
2025/07/05/17:48:15.654768,9563,1751712495,654275170,,1751712495,441112000,fcu
2025/07/05/17:48:15.734151,9564,1751712495,733294227,,1751712495,520881000,fcu
2025/07/05/17:48:15.834027,9565,1751712495,833373841,,1751712495,620464000,fcu
2025/07/05/17:48:15.914728,9566,1751712495,914213749,,1751712495,701747000,fcu
2025/07/05/17:48:16.017856,9567,1751712496,17297802,,1751712495,804271000,fcu
2025/07/05/17:48:16.114619,9568,1751712496,114156774,,1751712495,901098000,fcu
2025/07/05/17:48:16.196096,9569,1751712496,195160204,,1751712495,982745000,fcu
2025/07/05/17:48:16.295658,9570,1751712496,295164274,,1751712496,81744000,fcu
2025/07/05/17:48:16.396440,9571,1751712496,395991912,,1751712496,182467000,fcu
2025/07/05/17:48:16.534745,9572,1751712496,534324269,,1751712496,320380000,fcu
2025/07/05/17:48:16.618001,9573,1751712496,616765082,,1751712496,403965000,fcu
2025/07/05/17:48:16.694514,9574,1751712496,694053566,,1751712496,481486000,fcu
2025/07/05/17:48:16.795291,9575,1751712496,795098805,,1751712496,582345000,fcu
2025/07/05/17:48:16.874191,9576,1751712496,873942987,,1751712496,661140000,fcu
2025/07/05/17:48:16.995739,9577,1751712496,995015482,,1751712496,782301000,fcu
2025/07/05/17:48:17.095616,9578,1751712497,95023764,,1751712496,882033000,fcu
2025/07/05/17:48:17.195133,9579,1751712497,194359404,,1751712496,982245000,fcu
2025/07/05/17:48:17.274091,9580,1751712497,273859356,,1751712497,60810000,fcu
2025/07/05/17:48:17.354121,9581,1751712497,353538662,,1751712497,140437000,fcu
2025/07/05/17:48:17.515234,9582,1751712497,514957149,,1751712497,302149000,fcu
2025/07/05/17:48:17.617624,9583,1751712497,616780874,,1751712497,404227000,fcu
2025/07/05/17:48:17.694811,9584,1751712497,694201050,,1751712497,481810000,fcu
2025/07/05/17:48:17.795919,9585,1751712497,795017166,,1751712497,582237000,fcu
2025/07/05/17:48:17.894816,9586,1751712497,894241633,,1751712497,681520000,fcu
