time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
2025/07/05/17:48:10.733350,9514,1751712490,740147008,base_link,101080.615234375,0.0
2025/07/05/17:48:10.833940,9515,1751712490,840147008,base_link,101075.1953125,0.0
2025/07/05/17:48:10.933769,9516,1751712490,940147008,base_link,101078.3935546875,0.0
2025/07/05/17:48:11.034014,9517,1751712491,40147008,base_link,101078.5888671875,0.0
2025/07/05/17:48:11.114588,9518,1751712491,121147008,base_link,101079.16870117188,0.0
2025/07/05/17:48:11.196330,9519,1751712491,203147008,base_link,101075.82397460938,0.0
2025/07/05/17:48:11.294796,9520,1751712491,301147008,base_link,101077.76489257812,0.0
2025/07/05/17:48:11.418736,9521,1751712491,424147008,base_link,101077.44140625,0.0
2025/07/05/17:48:11.575789,9522,1751712491,581147008,base_link,101077.880859375,0.0
2025/07/05/17:48:11.654025,9523,1751712491,660147008,base_link,101076.59301757812,0.0
2025/07/05/17:48:11.754447,9524,1751712491,760147008,base_link,101076.82495117188,0.0
2025/07/05/17:48:11.833541,9525,1751712491,840147008,base_link,101078.23486328125,0.0
2025/07/05/17:48:11.933928,9526,1751712491,940147008,base_link,101077.38647460938,0.0
2025/07/05/17:48:12.033804,9527,1751712492,40147008,base_link,101078.85131835938,0.0
2025/07/05/17:48:12.116395,9528,1751712492,121147008,base_link,101077.96630859375,0.0
2025/07/05/17:48:12.196357,9529,1751712492,202147008,base_link,101077.84423828125,0.0
2025/07/05/17:48:12.294901,9530,1751712492,302147008,base_link,101076.7578125,0.0
2025/07/05/17:48:12.437528,9531,1751712492,443147008,base_link,101076.8310546875,0.0
2025/07/05/17:48:12.556036,9532,1751712492,560147008,base_link,101077.54516601562,0.0
2025/07/05/17:48:12.654313,9533,1751712492,660147008,base_link,101077.18505859375,0.0
2025/07/05/17:48:12.734025,9534,1751712492,740147008,base_link,101077.2705078125,0.0
2025/07/05/17:48:12.833412,9535,1751712492,840147008,base_link,101077.36206054688,0.0
2025/07/05/17:48:12.917323,9536,1751712492,921147008,base_link,101076.56860351562,0.0
2025/07/05/17:48:13.033903,9537,1751712493,40147008,base_link,101074.62158203125,0.0
2025/07/05/17:48:13.115007,9538,1751712493,121147008,base_link,101076.9287109375,0.0
2025/07/05/17:48:13.195286,9539,1751712493,202147008,base_link,101078.72314453125,0.0
2025/07/05/17:48:13.274173,9540,1751712493,280147008,base_link,101078.72314453125,0.0
2025/07/05/17:48:13.395828,9541,1751712493,402147008,base_link,101078.88793945312,0.0
2025/07/05/17:48:13.574317,9542,1751712493,580147008,base_link,101077.32543945312,0.0
2025/07/05/17:48:13.695132,9543,1751712493,701147008,base_link,101075.64086914062,0.0
2025/07/05/17:48:13.774621,9544,1751712493,781147008,base_link,101075.64086914062,0.0
2025/07/05/17:48:13.874352,9545,1751712493,881147008,base_link,101077.4658203125,0.0
2025/07/05/17:48:13.973922,9546,1751712493,981147008,base_link,101077.87475585938,0.0
2025/07/05/17:48:14.095233,9547,1751712494,101147008,base_link,101075.79345703125,0.0
2025/07/05/17:48:14.173887,9548,1751712494,180147008,base_link,101075.79345703125,0.0
2025/07/05/17:48:14.254496,9549,1751712494,260147008,base_link,101076.69067382812,0.0
2025/07/05/17:48:14.353911,9550,1751712494,360147008,base_link,101077.85034179688,0.0
2025/07/05/17:48:14.515205,9551,1751712494,521147008,base_link,101077.89916992188,0.0
2025/07/05/17:48:14.595892,9552,1751712494,602147008,base_link,101077.56958007812,0.0
2025/07/05/17:48:14.695355,9553,1751712494,701147008,base_link,101077.89916992188,0.0
2025/07/05/17:48:14.795557,9554,1751712494,802147008,base_link,101077.27661132812,0.0
2025/07/05/17:48:14.874667,9555,1751712494,881147008,base_link,101077.27661132812,0.0
2025/07/05/17:48:14.995517,9556,1751712495,2147008,base_link,101078.466796875,0.0
2025/07/05/17:48:15.074274,9557,1751712495,80147008,base_link,101078.466796875,0.0
2025/07/05/17:48:15.173756,9558,1751712495,181147008,base_link,101074.70092773438,0.0
2025/07/05/17:48:15.274788,9559,1751712495,281147008,base_link,101076.53198242188,0.0
2025/07/05/17:48:15.374122,9560,1751712495,380147008,base_link,101079.69970703125,0.0
2025/07/05/17:48:15.553884,9561,1751712495,560147008,base_link,101074.42016601562,0.0
2025/07/05/17:48:15.654751,9562,1751712495,660147008,base_link,101075.9033203125,0.0
2025/07/05/17:48:15.734096,9563,1751712495,740147008,base_link,101076.98974609375,0.0
2025/07/05/17:48:15.817702,9564,1751712495,824147008,base_link,101074.20043945312,0.0
2025/07/05/17:48:15.914601,9565,1751712495,921147008,base_link,101077.6611328125,0.0
2025/07/05/17:48:15.996386,9566,1751712496,2147008,base_link,101076.35498046875,0.0
2025/07/05/17:48:16.095205,9567,1751712496,102147008,base_link,101075.732421875,0.0
2025/07/05/17:48:16.196040,9568,1751712496,202147008,base_link,101076.11694335938,0.0
2025/07/05/17:48:16.273872,9569,1751712496,281147008,base_link,101076.11694335938,0.0
2025/07/05/17:48:16.395730,9570,1751712496,402147008,base_link,101075.34790039062,0.0
2025/07/05/17:48:16.515346,9571,1751712496,522147008,base_link,101075.18310546875,0.0
2025/07/05/17:48:16.596321,9572,1751712496,602147008,base_link,101077.57568359375,0.0
2025/07/05/17:48:16.694393,9573,1751712496,701147008,base_link,101076.81884765625,0.0
2025/07/05/17:48:16.795100,9574,1751712496,802147008,base_link,101078.02734375,0.0
2025/07/05/17:48:16.874110,9575,1751712496,880147008,base_link,101078.02734375,0.0
2025/07/05/17:48:16.995705,9576,1751712497,2147008,base_link,101078.05786132812,0.0
2025/07/05/17:48:17.095205,9577,1751712497,101147008,base_link,101075.78125,0.0
2025/07/05/17:48:17.195071,9578,1751712497,202147008,base_link,101076.42211914062,0.0
2025/07/05/17:48:17.273893,9579,1751712497,280147008,base_link,101076.42211914062,0.0
2025/07/05/17:48:17.353981,9580,1751712497,360147008,base_link,101079.6630859375,0.0
2025/07/05/17:48:17.514914,9581,1751712497,521147008,base_link,101076.84326171875,0.0
2025/07/05/17:48:17.596653,9582,1751712497,603147008,base_link,101077.9296875,0.0
2025/07/05/17:48:17.694775,9583,1751712497,701147008,base_link,101076.84936523438,0.0
2025/07/05/17:48:17.774575,9584,1751712497,780147008,base_link,101076.84936523438,0.0
2025/07/05/17:48:17.873829,9585,1751712497,881147008,base_link,101078.89404296875,0.0
2025/07/05/17:48:17.995566,9586,1751712498,2147008,base_link,101076.42211914062,0.0
2025/07/05/17:48:18.073960,9587,1751712498,80147008,base_link,101076.42211914062,0.0
2025/07/05/17:48:18.173987,9588,1751712498,181147008,base_link,101081.1767578125,0.0
2025/07/05/17:48:18.274408,9589,1751712498,281147008,base_link,101076.40991210938,0.0
2025/07/05/17:48:18.373578,9590,1751712498,380147008,base_link,101078.38745117188,0.0
2025/07/05/17:48:18.553921,9591,1751712498,560147008,base_link,101075.95825195312,0.0
2025/07/05/17:48:18.653730,9592,1751712498,660147008,base_link,101076.20239257812,0.0
2025/07/05/17:48:18.753990,9593,1751712498,760147008,base_link,101078.22265625,0.0
2025/07/05/17:48:18.853929,9594,1751712498,860147008,base_link,101076.26342773438,0.0
2025/07/05/17:48:18.953998,9595,1751712498,960147008,base_link,101076.71508789062,0.0
2025/07/05/17:48:19.053747,9596,1751712499,61147008,base_link,101078.02124023438,0.0
2025/07/05/17:48:19.153917,9597,1751712499,160147008,base_link,101072.89428710938,0.0
2025/07/05/17:48:19.253919,9598,1751712499,260147008,base_link,101075.42114257812,0.0
2025/07/05/17:48:19.353951,9599,1751712499,360147008,base_link,101076.5625,0.0
2025/07/05/17:48:19.515213,9600,1751712499,521147008,base_link,101078.16772460938,0.0
2025/07/05/17:48:19.617401,9601,1751712499,623147008,base_link,101077.69165039062,0.0
2025/07/05/17:48:19.694832,9602,1751712499,701147008,base_link,101078.72924804688,0.0
2025/07/05/17:48:19.795571,9603,1751712499,802147008,base_link,101077.55126953125,0.0
2025/07/05/17:48:19.873902,9604,1751712499,880147008,base_link,101077.55126953125,0.0
2025/07/05/17:48:19.995494,9605,1751712500,2147008,base_link,101078.74755859375,0.0
