time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:17.063060,14594,1751712257,62899269,,11.671000480651855,0.0,-18.31999969482422,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.671000480651855,)",(),id1,
2025/07/05/17:44:17.124022,14595,1751712257,123206556,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.163795,14596,1751712257,163308742,,11.7160005569458,0.0,-14.90999984741211,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.7160005569458,)",(),id1,
2025/07/05/17:44:17.203616,14597,1751712257,203476921,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.241978,14598,1751712257,241478315,,11.74000072479248,0.0,-14.239999771118164,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.74000072479248,)",(),id1,
2025/07/05/17:44:17.283977,14599,1751712257,282277423,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.323598,14600,1751712257,323148768,,11.714000701904297,0.0,-12.139999389648438,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.714000701904297,)",(),id1,
2025/07/05/17:44:17.426374,14601,1751712257,425784577,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.542846,14602,1751712257,542223676,,11.858000755310059,0.0,-6.339999675750732,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.858000755310059,)",(),id1,
2025/07/05/17:44:17.582500,14603,1751712257,581961199,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.625930,14604,1751712257,625342759,,11.867000579833984,0.0,-5.670000076293945,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.867000579833984,)",(),id1,
2025/07/05/17:44:17.663728,14605,1751712257,663095912,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.723904,14606,1751712257,723412093,,11.897000312805176,0.0,-4.210000038146973,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.897000312805176,)",(),id1,
2025/07/05/17:44:17.763212,14607,1751712257,762028209,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.805829,14608,1751712257,804463987,,11.897000312805176,0.0,-4.210000038146973,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.897000312805176,)",(),id1,
2025/07/05/17:44:17.863019,14609,1751712257,862354595,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:17.943284,14610,1751712257,942268906,,11.974000930786133,0.0,-0.2800000011920929,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.974000930786133,)",(),id1,
2025/07/05/17:44:17.984243,14611,1751712257,983419317,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.027435,14612,1751712258,26353599,,11.982000350952148,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:18.062687,14613,1751712258,61996687,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.103976,14614,1751712258,103696080,,11.982000350952148,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.982000350952148,)",(),id1,
2025/07/05/17:44:18.163041,14615,1751712258,162321950,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.204671,14616,1751712258,203897163,,11.97900104522705,0.0,-0.23999999463558197,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.97900104522705,)",(),id1,
2025/07/05/17:44:18.242598,14617,1751712258,241796150,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
