time,.data
2025/07/05/17:45:02.701931,22
2025/07/05/17:45:02.781401,22
2025/07/05/17:45:02.860647,22
2025/07/05/17:45:02.961363,22
2025/07/05/17:45:03.060466,22
2025/07/05/17:45:03.160930,22
2025/07/05/17:45:03.260962,22
2025/07/05/17:45:03.361299,22
2025/07/05/17:45:03.542115,22
2025/07/05/17:45:03.641442,22
2025/07/05/17:45:03.742265,22
2025/07/05/17:45:03.842725,22
2025/07/05/17:45:03.921744,22
2025/07/05/17:45:04.024352,22
2025/07/05/17:45:04.102184,22
2025/07/05/17:45:04.202256,22
2025/07/05/17:45:04.281009,22
2025/07/05/17:45:04.403805,22
2025/07/05/17:45:04.581775,22
2025/07/05/17:45:04.660863,22
2025/07/05/17:45:04.761952,22
2025/07/05/17:45:04.860922,22
2025/07/05/17:45:04.982201,22
2025/07/05/17:45:05.101946,22
2025/07/05/17:45:05.180775,22
2025/07/05/17:45:05.301928,22
2025/07/05/17:45:05.425092,22
2025/07/05/17:45:05.602956,22
2025/07/05/17:45:05.701997,22
2025/07/05/17:45:05.802435,21
2025/07/05/17:45:05.881512,21
2025/07/05/17:45:06.003253,21
2025/07/05/17:45:06.080782,21
2025/07/05/17:45:06.181566,21
2025/07/05/17:45:06.260812,22
2025/07/05/17:45:06.361229,22
2025/07/05/17:45:06.542265,22
2025/07/05/17:45:06.602647,22
2025/07/05/17:45:06.685120,22
2025/07/05/17:45:06.802340,22
2025/07/05/17:45:06.901955,22
2025/07/05/17:45:06.980946,22
2025/07/05/17:45:07.101887,21
2025/07/05/17:45:07.182005,21
2025/07/05/17:45:07.281290,21
2025/07/05/17:45:07.402469,21
2025/07/05/17:45:07.560730,21
2025/07/05/17:45:07.641787,21
2025/07/05/17:45:07.741563,21
2025/07/05/17:45:07.842252,21
2025/07/05/17:45:07.941661,21
2025/07/05/17:45:08.042855,21
2025/07/05/17:45:08.121949,21
2025/07/05/17:45:08.224087,21
2025/07/05/17:45:08.301563,21
2025/07/05/17:45:08.483979,21
2025/07/05/17:45:08.602352,21
2025/07/05/17:45:08.701270,21
2025/07/05/17:45:08.781321,21
2025/07/05/17:45:08.903163,21
2025/07/05/17:45:09.002581,21
2025/07/05/17:45:09.081912,21
2025/07/05/17:45:09.202439,21
2025/07/05/17:45:09.281130,21
2025/07/05/17:45:09.380791,21
2025/07/05/17:45:09.561948,21
2025/07/05/17:45:09.661280,21
2025/07/05/17:45:09.783192,21
2025/07/05/17:45:09.860770,21
2025/07/05/17:45:09.960778,21
2025/07/05/17:45:10.060901,21
2025/07/05/17:45:10.161580,21
