time,.x,.y,.z
2025/07/05/17:44:31.605368,-57.374422299756375,-16.627799999997528,0.0
2025/07/05/17:44:31.684409,-57.374422299756375,-16.627799999997528,0.0
2025/07/05/17:44:31.785825,-57.374422299756375,-16.6166999999664,0.0
2025/07/05/17:44:31.863912,-57.36309020042914,-16.605599999935272,0.0
2025/07/05/17:44:31.983452,-57.36309020042914,-16.605599999935272,0.0
2025/07/05/17:44:32.064976,-57.35175809949152,-16.594499999904144,0.0
2025/07/05/17:44:32.162476,-57.340426000164285,-16.594499999904144,0.0
2025/07/05/17:44:32.264392,-57.340426000164285,-16.583399999971604,0.0
2025/07/05/17:44:32.364843,-57.32909389922666,-16.583399999971604,0.0
2025/07/05/17:44:32.565932,-57.31776179989943,-16.572299999940476,0.0
2025/07/05/17:44:32.664948,-57.31776179989943,-16.572299999940476,0.0
2025/07/05/17:44:32.785071,-57.306429700572195,-16.56119999990935,0.0
