time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2025/07/05/17:46:11.878784,4253,1751712371,880147008,map,21.72747802734375,-4.407010555267334,-1.3884496688842773,0.026416954429266587,-0.06339115335387158,-0.5160377176038212,-0.853808397830208
2025/07/05/17:46:11.999780,4254,1751712372,1147008,map,21.801551818847656,-4.306399822235107,-1.3940678834915161,0.027015817481437825,-0.06258584275294193,-0.5231995348803862,-0.8494794903902396
2025/07/05/17:46:12.078790,4255,1751712372,80147008,map,21.84678077697754,-4.23753547668457,-1.3962184190750122,0.027771854762484435,-0.061826515653335,-0.5301649696826218,-0.8451812296582573
2025/07/05/17:46:12.178999,4256,1751712372,181147008,map,21.902137756347656,-4.149566173553467,-1.395830750465393,0.027237688589284534,-0.06226240858287235,-0.5364406404285929,-0.8411973253014621
2025/07/05/17:46:12.299375,4257,1751712372,301147008,map,21.971155166625977,-4.038754463195801,-1.3947741985321045,0.02845996089827317,-0.06125125595030298,-0.5431799874435473,-0.8368953432245916
2025/07/05/17:46:12.378755,4258,1751712372,381147008,map,22.015804290771484,-3.9649202823638916,-1.3950905799865723,0.02984552617487504,-0.060826763957824985,-0.5496125506065215,-0.8326676369173703
2025/07/05/17:46:12.558696,4259,1751712372,561147008,map,22.11483383178711,-3.7974367141723633,-1.3944727182388306,0.029748451590843886,-0.061678622613495986,-0.5598160594184696,-0.8257825117775417
2025/07/05/17:46:12.642461,4260,1751712372,644147008,map,22.15815544128418,-3.7221643924713135,-1.395492672920227,0.029948704766222252,-0.061479216314944685,-0.5678331637242728,-0.8202980429203821
2025/07/05/17:46:12.740407,4261,1751712372,740147008,map,22.21299934387207,-3.6254217624664307,-1.3947644233703613,0.029833888602136177,-0.061420848709338415,-0.5728498673375442,-0.8168111458140477
2025/07/05/17:46:12.819442,4262,1751712372,822147008,map,22.25503921508789,-3.5481576919555664,-1.3946318626403809,0.029765284583234394,-0.0614983912468253,-0.5776587385683043,-0.8134140135646833
2025/07/05/17:46:12.920767,4263,1751712372,921147008,map,22.303997039794922,-3.448091506958008,-1.3920196294784546,0.029715144904405254,-0.06162894016374879,-0.5824802123594129,-0.8099602990933177
2025/07/05/17:46:12.999680,4264,1751712373,2147008,map,22.341718673706055,-3.3684701919555664,-1.3908040523529053,0.03089972501783156,-0.06100864752943575,-0.5885889611994867,-0.8055347209615242
2025/07/05/17:46:13.099811,4265,1751712373,101147008,map,22.392284393310547,-3.272521495819092,-1.3882455825805664,0.031918837281580785,-0.06064341269873075,-0.5944976464832035,-0.8011717123368595
2025/07/05/17:46:13.199720,4266,1751712373,202147008,map,22.4415225982666,-3.177741289138794,-1.3869398832321167,0.03381675160511546,-0.05961727471617044,-0.6009593085377615,-0.7963354301725563
2025/07/05/17:46:13.278423,4267,1751712373,280147008,map,22.480817794799805,-3.1022562980651855,-1.3839679956436157,0.03509993314834164,-0.05939861469180965,-0.6063153193202327,-0.7922256830116532
2025/07/05/17:46:13.400592,4268,1751712373,402147008,map,22.536659240722656,-2.988335371017456,-1.3818432092666626,0.03577122306717401,-0.059284354845305455,-0.6118206277076328,-0.7879602175124659
2025/07/05/17:46:13.538842,4269,1751712373,540147008,map,22.599058151245117,-2.8526854515075684,-1.3773303031921387,0.03507563711635772,-0.0595697061932414,-0.6214276558196391,-0.7804157983840669
2025/07/05/17:46:13.638438,4270,1751712373,640147008,map,22.640350341796875,-2.752660036087036,-1.376622200012207,0.034461668592030224,-0.059647015425974614,-0.6306220657399189,-0.7730268023494037
2025/07/05/17:46:13.718560,4271,1751712373,721147008,map,22.671140670776367,-2.670116901397705,-1.3778396844863892,0.034063492047269425,-0.05988946378051104,-0.6352475493768549,-0.7692291476850892
2025/07/05/17:46:13.821463,4272,1751712373,824147008,map,22.7075252532959,-2.5677456855773926,-1.3794307708740234,0.03448243489710164,-0.05948586403731475,-0.6408452155300389,-0.7645847261066359
2025/07/05/17:46:13.920900,4273,1751712373,922147008,map,22.74201202392578,-2.468447208404541,-1.3796052932739258,0.035873162576608185,-0.05850459152442333,-0.6452623584939872,-0.7608724056555668
2025/07/05/17:46:14.021540,4274,1751712374,24147008,map,22.7756404876709,-2.3699564933776855,-1.3804391622543335,0.03824214504991844,-0.05669633514486276,-0.6522820510049471,-0.7548848851711776
2025/07/05/17:46:14.099227,4275,1751712374,102147008,map,22.80377960205078,-2.2944283485412598,-1.3799901008605957,0.039124170506613244,-0.05597171219576355,-0.6571740439521845,-0.7506388896610516
2025/07/05/17:46:14.200141,4276,1751712374,202147008,map,22.836626052856445,-2.1988532543182373,-1.3792002201080322,0.03912656738896157,-0.05607143126455032,-0.6634796429950041,-0.7450636681865005
2025/07/05/17:46:14.299377,4277,1751712374,301147008,map,22.867218017578125,-2.0971901416778564,-1.3765771389007568,0.03835593180483189,-0.05684032698398583,-0.6698769462280721,-0.7392989088561468
2025/07/05/17:46:14.478697,4278,1751712374,480147008,map,22.91730308532715,-1.9122403860092163,-1.3721004724502563,0.03883045311547877,-0.05663873083142707,-0.6764138253845031,-0.7333134301984076
2025/07/05/17:46:14.600175,4279,1751712374,602147008,map,22.947696685791016,-1.7874294519424438,-1.3721773624420166,0.037496559395635114,-0.05752655959402079,-0.6870659784366163,-0.7233429644710039
2025/07/05/17:46:14.699068,4280,1751712374,702147008,map,22.97345733642578,-1.6857967376708984,-1.371689796447754,0.03827907927837907,-0.05694163755395751,-0.692262265450498,-0.7183768633771673
2025/07/05/17:46:14.800805,4281,1751712374,802147008,map,22.996875762939453,-1.5836457014083862,-1.3719583749771118,0.03955417802292027,-0.055640951392403694,-0.6971557522980412,-0.7136619708004849
2025/07/05/17:46:14.938783,4282,1751712374,940147008,map,23.025903701782227,-1.4412367343902588,-1.3743699789047241,0.03997604223454875,-0.055433038069117244,-0.7013596933585926,-0.7095235548377729
2025/07/05/17:46:15.021599,4283,1751712375,24147008,map,23.038488388061523,-1.3573274612426758,-1.37626314163208,0.035189419566872195,-0.06008499840254106,-0.7034896372310884,-0.707286241931783
2025/07/05/17:46:15.100047,4284,1751712375,101147008,map,23.051841735839844,-1.2719262838363647,-1.3789036273956299,0.031898975378000245,-0.06342918717027884,-0.7036298542109473,-0.7070107650155213
2025/07/05/17:46:15.199721,4285,1751712375,202147008,map,23.066513061523438,-1.164396047592163,-1.381372094154358,0.031217355037182242,-0.06426649714347002,-0.7032941935273972,-0.7072994920399978
2025/07/05/17:46:15.278678,4286,1751712375,281147008,map,23.084400177001953,-1.0765517950057983,-1.380624771118164,0.033492427101565025,-0.062029467856550974,-0.7028434717180915,-0.7078429604845553
2025/07/05/17:46:15.378840,4287,1751712375,380147008,map,23.103452682495117,-0.966713547706604,-1.3844393491744995,0.037411534859830946,-0.058142944542830644,-0.7017458084945426,-0.7090645917824847
2025/07/05/17:46:15.538658,4288,1751712375,540147008,map,23.13071632385254,-0.7891874313354492,-1.3863757848739624,0.04107113229569564,-0.05429262974409553,-0.7004924467950566,-0.7104053803501875
2025/07/05/17:46:15.622081,4289,1751712375,624147008,map,23.143775939941406,-0.7001276612281799,-1.3874154090881348,0.04064866527374154,-0.05424482260490271,-0.7001421286035683,-0.7107785766231919
2025/07/05/17:46:15.718971,4290,1751712375,721147008,map,23.163984298706055,-0.5877895355224609,-1.388117790222168,0.04236261588608691,-0.05253870563109256,-0.7016838639673525,-0.7092847441146208
2025/07/05/17:46:15.800139,4291,1751712375,802147008,map,23.179521560668945,-0.498455286026001,-1.3896125555038452,0.04539495849920384,-0.049601407972711245,-0.7044140688597694,-0.7065973518648396
2025/07/05/17:46:15.919896,4292,1751712375,921147008,map,23.204792022705078,-0.36605513095855713,-1.3921208381652832,0.04853851036103922,-0.0472129378646936,-0.708927004234211,-0.7020238273574644
2025/07/05/17:46:16.021721,4293,1751712376,23147008,map,23.22291374206543,-0.25528252124786377,-1.3944534063339233,0.0486319178470168,-0.04782827026168381,-0.7137886608779616,-0.6970316640815845
2025/07/05/17:46:16.118919,4294,1751712376,121147008,map,23.240541458129883,-0.14403706789016724,-1.3981279134750366,0.04586012771793511,-0.050394848833512224,-0.7187522176572485,-0.691919401021195
2025/07/05/17:46:16.200019,4295,1751712376,202147008,map,23.25305938720703,-0.05467194318771362,-1.400621771812439,0.04281709337807036,-0.0525625962344429,-0.7234988090727357,-0.6869886048997332
2025/07/05/17:46:16.299507,4296,1751712376,302147008,map,23.272666931152344,0.054324209690093994,-1.4048175811767578,0.04251543038705376,-0.05298715416621894,-0.7284903160824038,-0.6816792933972162
2025/07/05/17:46:16.460130,4297,1751712376,460147008,map,23.302824020385742,0.23158854246139526,-1.411859393119812,0.04416571555804164,-0.051801457497793385,-0.7336214416421115,-0.6761402065646596
2025/07/05/17:46:16.599720,4298,1751712376,602147008,map,23.32806968688965,0.38774412870407104,-1.4206700325012207,0.04717210455398223,-0.04947783560407832,-0.7441134186824849,-0.6645464291323436
2025/07/05/17:46:16.699709,4299,1751712376,701147008,map,23.341644287109375,0.4997752904891968,-1.4274754524230957,0.046215258630702416,-0.0503035900754187,-0.7493497221951977,-0.6586415508766522
2025/07/05/17:46:16.778794,4300,1751712376,781147008,map,23.35051727294922,0.5893183946609497,-1.433001160621643,0.04534158827989485,-0.05152482937444415,-0.7537045674091782,-0.6536197345526943
2025/07/05/17:46:16.919641,4301,1751712376,921147008,map,23.37001609802246,0.7412106394767761,-1.439864993095398,0.045154446663751055,-0.051991954787272206,-0.7594268625663637,-0.6469379823418144
2025/07/05/17:46:17.000181,4302,1751712377,2147008,map,23.37811279296875,0.8284633755683899,-1.4430975914001465,0.04413411989481167,-0.05309265641919699,-0.7655421221313379,-0.6396707032044778
2025/07/05/17:46:17.099173,4303,1751712377,102147008,map,23.385910034179688,0.9373634457588196,-1.4480433464050293,0.04462718625689665,-0.052503710343746415,-0.7704608538391486,-0.6337521971152311
2025/07/05/17:46:17.200611,4304,1751712377,202147008,map,23.390705108642578,1.0471572875976562,-1.4505735635757446,0.04532308900611964,-0.05162829389879438,-0.7750731782623749,-0.6281257081272058
2025/07/05/17:46:17.299709,4305,1751712377,302147008,map,23.392322540283203,1.156983494758606,-1.456250786781311,0.04661017710192525,-0.05007825674259794,-0.7797254338071282,-0.6223728042471292
2025/07/05/17:46:17.478954,4306,1751712377,480147008,map,23.391515731811523,1.353920340538025,-1.462183952331543,0.0464015062616245,-0.05080590231078476,-0.7836973034284509,-0.617320173901691
2025/07/05/17:46:17.600119,4307,1751712377,602147008,map,23.38919448852539,1.4850716590881348,-1.4630935192108154,0.049451249439594745,-0.04763116406273067,-0.7932951448257393,-0.604953435674847
2025/07/05/17:46:17.699166,4308,1751712377,702147008,map,23.38612174987793,1.591202735900879,-1.4642659425735474,0.04989222039370119,-0.046419236752882224,-0.7985235061200614,-0.5980938312482333
2025/07/05/17:46:17.800615,4309,1751712377,802147008,map,23.377614974975586,1.6983187198638916,-1.4654873609542847,0.04887548038794301,-0.04738949218803023,-0.8031213269376272,-0.5919134714339193
2025/07/05/17:46:17.898995,4310,1751712377,902147008,map,23.364530563354492,1.8031578063964844,-1.466725468635559,0.042373961526553296,-0.05676837211937362,-0.804397562523042,-0.58985282971132
2025/07/05/17:46:18.021802,4311,1751712378,24147008,map,23.33772850036621,1.9285452365875244,-1.4659477472305298,0.029349973880381804,-0.07629185397694763,-0.7984054641818688,-0.5965457625484533
2025/07/05/17:46:18.099557,4312,1751712378,102147008,map,23.320192337036133,2.0143725872039795,-1.464766502380371,0.024027267755309802,-0.08334956004132732,-0.7914180551148452,-0.6050892523284213
2025/07/05/17:46:18.200095,4313,1751712378,202147008,map,23.296344757080078,2.1246845722198486,-1.4636292457580566,0.024726562798043843,-0.08077946962563753,-0.7808149595699803,-0.6190244529022461
2025/07/05/17:46:18.299920,4314,1751712378,302147008,map,23.27635955810547,2.2409629821777344,-1.4655158519744873,0.03224297560201393,-0.06630270410599776,-0.7703172474174822,-0.633384306944618
2025/07/05/17:46:18.441851,4315,1751712378,443147008,map,23.25782585144043,2.408477783203125,-1.4725728034973145,0.042371044732826546,-0.04884499963380844,-0.7608831135198447,-0.6456591578684292
2025/07/05/17:46:18.558719,4316,1751712378,560147008,map,23.2575626373291,2.549797773361206,-1.4768017530441284,0.06169512180432253,-0.02474807054240416,-0.7557220153140707,-0.651510153811602
2025/07/05/17:46:18.658490,4317,1751712378,660147008,map,23.25619888305664,2.6695504188537598,-1.4796804189682007,0.0679747323727338,-0.021876288756810868,-0.7568306481376587,-0.6496985714842041
2025/07/05/17:46:18.738605,4318,1751712378,740147008,map,23.253671646118164,2.7663118839263916,-1.481493592262268,0.06415757876168668,-0.029275462122137136,-0.7598933775339974,-0.646211116574875
2025/07/05/17:46:18.821696,4319,1751712378,824147008,map,23.250869750976562,2.86277437210083,-1.4829480648040771,0.0557740964470006,-0.041160239498369826,-0.7632396612298109,-0.6423864135983582
2025/07/05/17:46:18.920042,4320,1751712378,921147008,map,23.24883460998535,2.9842844009399414,-1.4846775531768799,0.048377392414518834,-0.05114660147597898,-0.7669114713745486,-0.6378796501964569
2025/07/05/17:46:18.999369,4321,1751712379,2147008,map,23.243818283081055,3.08089017868042,-1.4868541955947876,0.042791686541905814,-0.05843407698686655,-0.7705000820368352,-0.6333118929807195
2025/07/05/17:46:19.118517,4322,1751712379,121147008,map,23.233844757080078,3.2168309688568115,-1.4917820692062378,0.03971153799880983,-0.061832122394819215,-0.7711500107722,-0.6323981683053459
2025/07/05/17:46:19.200307,4323,1751712379,202147008,map,23.22260093688965,3.3089003562927246,-1.4955477714538574,0.03765901400149266,-0.06357827414333794,-0.7686151611388465,-0.635429253173707
2025/07/05/17:46:19.319897,4324,1751712379,321147008,map,23.197898864746094,3.4472298622131348,-1.504104495048523,0.034830903568373414,-0.06586273460992728,-0.7629636134916287,-0.6421335007878887
2025/07/05/17:46:19.458311,4325,1751712379,461147008,map,23.1677188873291,3.610508918762207,-1.5175646543502808,0.03216100074661942,-0.06684852838956011,-0.75393049277301,-0.6527524464528434
2025/07/05/17:46:19.600588,4326,1751712379,602147008,map,23.144845962524414,3.7782368659973145,-1.5321227312088013,0.0335349380824896,-0.059365351721759024,-0.7327956235719616,-0.677024177571625
2025/07/05/17:46:19.699575,4327,1751712379,702147008,map,23.143129348754883,3.8953609466552734,-1.5391801595687866,0.04230041399148339,-0.04625545673330616,-0.7268474508084881,-0.683932665510096
2025/07/05/17:46:19.799154,4328,1751712379,802147008,map,23.146251678466797,4.013272762298584,-1.5443665981292725,0.05736125621926084,-0.03000018445378368,-0.7264842793451406,-0.6841273763576918
2025/07/05/17:46:19.921345,4329,1751712379,922147008,map,23.14957618713379,4.145999908447266,-1.548616647720337,0.06642100357713078,-0.023473511362114632,-0.7287000066717274,-0.6812000769412494
2025/07/05/17:46:20.021234,4330,1751712380,24147008,map,23.152029037475586,4.257335662841797,-1.551059365272522,0.061606085031189875,-0.03321921604181669,-0.733353698442715,-0.676234816430719
2025/07/05/17:46:20.099598,4331,1751712380,102147008,map,23.155717849731445,4.345629692077637,-1.5529776811599731,0.05456326437002993,-0.04334999992661727,-0.7375468564437692,-0.6716906000812894
