time,.server_id,.seq_num,.type,.markers,.poses,.erases
2025/07/05/17:46:18.916190,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916198,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916206,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916212,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916220,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916229,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.916250,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.925437,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.925451,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.925475,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.925492,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:18.925503,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:19.206479,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:19.717615,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:20.229489,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:20.709407,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:21.228333,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:21.720185,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:22.217790,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:22.725320,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:23.208487,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:23.718049,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:24.255604,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:24.754297,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:25.221458,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:46:25.701739,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.618662,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626314,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626706,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626757,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626769,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626782,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626793,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626812,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626822,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626881,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.626894,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628127,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628419,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628434,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628445,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628453,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628484,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628497,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628511,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628729,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628749,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628766,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628777,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628789,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628807,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628818,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628825,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628833,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628840,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628851,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628858,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628864,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628870,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628874,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628880,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628886,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628896,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628904,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628910,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628916,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628923,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628929,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628937,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628942,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628948,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628954,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628961,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628968,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628988,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.628998,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629003,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629009,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629015,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629020,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629030,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629036,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629042,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629047,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629061,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629068,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629074,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629079,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629089,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629094,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629100,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629119,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629124,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629130,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629136,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629143,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629150,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629157,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629165,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629170,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629197,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629209,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629240,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629248,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629259,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629267,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629273,/waypoint_nav_plugin,7,0,[],[],[]
2025/07/05/17:47:32.629290,/waypoint_nav_plugin,7,0,[],[],[]
