time,.data
2025/07/05/17:45:10.824030,69.5
2025/07/05/17:45:10.921709,69.49
2025/07/05/17:45:11.024166,69.58
2025/07/05/17:45:11.101142,69.72
2025/07/05/17:45:11.202495,69.94
2025/07/05/17:45:11.280926,70.06
2025/07/05/17:45:11.424583,70.27
2025/07/05/17:45:11.561099,70.45
2025/07/05/17:45:11.640172,70.62
2025/07/05/17:45:11.740538,71.05
2025/07/05/17:45:11.841296,71.43
2025/07/05/17:45:11.940996,70.9
2025/07/05/17:45:12.040021,69.76
2025/07/05/17:45:12.122274,68.58
2025/07/05/17:45:12.223786,66.97
2025/07/05/17:45:12.302327,65.97
2025/07/05/17:45:12.443320,65.74
2025/07/05/17:45:12.581398,67.22
2025/07/05/17:45:12.660190,68.58
2025/07/05/17:45:12.740161,70.15
2025/07/05/17:45:12.840319,72.14
2025/07/05/17:45:12.940568,74.02
2025/07/05/17:45:13.040570,75.73
2025/07/05/17:45:13.140564,77.33
2025/07/05/17:45:13.240462,78.92
2025/07/05/17:45:13.339860,80.51
2025/07/05/17:45:13.460736,82.46
2025/07/05/17:45:13.602607,84.72
2025/07/05/17:45:13.681954,85.98
2025/07/05/17:45:13.780426,87.49
2025/07/05/17:45:13.860530,88.65
2025/07/05/17:45:13.980619,90.33
2025/07/05/17:45:14.060916,91.48
2025/07/05/17:45:14.160802,92.92
2025/07/05/17:45:14.260980,94.22
2025/07/05/17:45:14.360967,95.26
2025/07/05/17:45:14.580951,97.38
2025/07/05/17:45:14.660656,98.12
2025/07/05/17:45:14.781047,99.09
2025/07/05/17:45:14.880764,99.86
2025/07/05/17:45:15.002308,100.7
2025/07/05/17:45:15.080087,101.19
2025/07/05/17:45:15.180718,101.84
2025/07/05/17:45:15.260354,102.39
2025/07/05/17:45:15.360092,103.0
2025/07/05/17:45:15.542414,103.59
2025/07/05/17:45:15.640090,103.64
2025/07/05/17:45:15.721236,103.57
2025/07/05/17:45:15.823973,103.37
2025/07/05/17:45:15.901145,103.15
2025/07/05/17:45:16.024156,102.86
2025/07/05/17:45:16.103159,102.75
2025/07/05/17:45:16.180703,102.7
2025/07/05/17:45:16.260699,102.67
