time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:40.570891,11028,1751712580,570197948,,2954295269000,1751709626268118523,1751709626283147008,13.595355987548828
2025/07/05/17:49:40.671072,11029,1751712580,670676675,,2954395465000,1751709626268053759,1751709626283147008,13.89829158782959
2025/07/05/17:49:40.772884,11030,1751712580,771049602,,2954494578000,1751709626269239485,1751709626283147008,14.458763122558594
2025/07/05/17:49:40.873536,11031,1751712580,871037439,,2954595456000,1751709626268384088,1751709626283147008,14.38879108428955
2025/07/05/17:49:40.971541,11032,1751712580,970981345,,2954695253000,1751709626268544795,1751709626283147008,14.358671188354492
2025/07/05/17:49:41.071150,11033,1751712581,70329660,,2954795014000,1751709626268414283,1751709626283147008,13.798482894897461
2025/07/05/17:49:41.171764,11034,1751712581,170006653,,2954894601000,1751709626268679555,1751709626283147008,13.446878433227539
2025/07/05/17:49:41.273001,11035,1751712581,271177936,,2954995064000,1751709626268204797,1751709626283147008,13.490039825439453
2025/07/05/17:49:41.372290,11036,1751712581,371296865,,2955095086000,1751709626268974434,1751709626283147008,14.451359748840332
2025/07/05/17:49:41.471194,11037,1751712581,470291659,,2955195441000,1751709626268038426,1751709626283147008,13.620833396911621
2025/07/05/17:49:41.570462,11038,1751712581,569972304,,2955294622000,1751709626268680460,1751709626283147008,13.333738327026367
2025/07/05/17:49:41.671462,11039,1751712581,670947257,,2955394514000,1751709626269257284,1751709626283147008,14.348274230957031
2025/07/05/17:49:41.774264,11040,1751712581,770024458,,2955494589000,1751709626268738590,1751709626283147008,13.387463569641113
2025/07/05/17:49:41.871006,11041,1751712581,870810257,,2955595112000,1751709626268515954,1751709626283147008,13.962323188781738
2025/07/05/17:49:41.971149,11042,1751712581,970257033,,2955695398000,1751709626268053223,1751709626283147008,13.593667984008789
2025/07/05/17:49:42.070356,11043,1751712582,70037628,,2955795472000,1751709626267840763,1751709626283147008,13.440580368041992
2025/07/05/17:49:42.173550,11044,1751712582,170299445,,2955894513000,1751709626268974644,1751709626283147008,13.608325958251953
2025/07/05/17:49:42.272060,11045,1751712582,270759942,,2955995273000,1751709626268343623,1751709626283147008,14.258047103881836
2025/07/05/17:49:42.371499,11046,1751712582,370063152,,2956095084000,1751709626268194972,1751709626283147008,13.563841819763184
2025/07/05/17:49:42.471479,11047,1751712582,471151647,,2956195320000,1751709626268547431,1751709626283147008,14.299027442932129
2025/07/05/17:49:42.571168,11048,1751712582,570317193,,2956295473000,1751709626268072612,1751709626283147008,13.52189826965332
2025/07/05/17:49:42.670748,11049,1751712582,670279755,,2956395286000,1751709626268091235,1751709626283147008,13.793396949768066
2025/07/05/17:49:42.771205,11050,1751712582,769960994,,2956495121000,1751709626268128421,1751709626283147008,13.417947769165039
2025/07/05/17:49:42.871777,11051,1751712582,871307006,,2956595091000,1751709626268822499,1751709626283147008,14.782869338989258
2025/07/05/17:49:42.970824,11052,1751712582,970294753,,2956694519000,1751709626268997300,1751709626283147008,13.55130672454834
2025/07/05/17:49:43.070433,11053,1751712583,70047486,,2956795469000,1751709626267769904,1751709626283147008,13.361260414123535
