time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2025/07/05/17:49:40.330700,9823,1751712580,340147008,base_link,0,1,-7.2871812,112.795978,54.015071891249775,"(1.373584, 0.0, 0.0, 0.0, 1.373584, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:40.511655,9824,1751712580,521147008,base_link,0,1,-7.2871819,112.7959794,54.01507448547487,"(1.373584, 0.0, 0.0, 0.0, 1.373584, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:40.591900,9825,1751712580,601147008,base_link,0,1,-7.2871822,112.79598,54.015075597283484,"(1.3782759999999998, 0.0, 0.0, 0.0, 1.3782759999999998, 0.0, 0.0, 0.0, 3.0450250000000003)",2
2025/07/05/17:49:40.671863,9826,1751712580,681147008,base_link,0,1,-7.2871825,112.7959806,54.01507670909076,"(1.387684, 0.0, 0.0, 0.0, 1.387684, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:40.771865,9827,1751712580,781147008,base_link,0,1,-7.2871829,112.7959814,54.025078191498565,"(1.387684, 0.0, 0.0, 0.0, 1.387684, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:40.871892,9828,1751712580,880147008,base_link,0,1,-7.2871833,112.7959823,54.025079986058884,"(1.387684, 0.0, 0.0, 0.0, 1.387684, 0.0, 0.0, 0.0, 3.048516)",2
2025/07/05/17:49:41.012459,9829,1751712581,21147008,base_link,0,1,-7.2871838,112.7959834,54.02508215121627,"(1.3947610000000001, 0.0, 0.0, 0.0, 1.3947610000000001, 0.0, 0.0, 0.0, 3.055504)",2
2025/07/05/17:49:41.092149,9830,1751712581,101147008,base_link,0,1,-7.2871841,112.795984,54.035083263016276,"(1.4018559999999998, 0.0, 0.0, 0.0, 1.4018559999999998, 0.0, 0.0, 0.0, 3.0660009999999995)",2
2025/07/05/17:49:41.171598,9831,1751712581,180147008,base_link,0,1,-7.2871843,112.7959847,54.03508494067668,"(1.4018559999999998, 0.0, 0.0, 0.0, 1.4018559999999998, 0.0, 0.0, 0.0, 3.0660009999999995)",2
2025/07/05/17:49:41.251222,9832,1751712581,260147008,base_link,0,1,-7.2871845,112.7959853,54.04508630618174,"(1.4018559999999998, 0.0, 0.0, 0.0, 1.4018559999999998, 0.0, 0.0, 0.0, 3.0660009999999995)",2
2025/07/05/17:49:41.330672,9833,1751712581,340147008,base_link,0,1,-7.2871847,112.795986,54.04508798383859,"(1.406596, 0.0, 0.0, 0.0, 1.406596, 0.0, 0.0, 0.0, 3.0660009999999995)",2
2025/07/05/17:49:41.470873,9834,1751712581,480147008,base_link,0,1,-7.2871851,112.7959872,54.04509071484106,"(1.406596, 0.0, 0.0, 0.0, 1.406596, 0.0, 0.0, 0.0, 3.0660009999999995)",2
