time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.temperature,.variance
2025/07/05/17:50:04.811259,10599,1751712604,821147008,base_link,69.43,0.0
2025/07/05/17:50:04.911558,10600,1751712604,921147008,base_link,69.42,0.0
2025/07/05/17:50:04.991376,10601,1751712605,2147008,base_link,69.43,0.0
2025/07/05/17:50:05.091067,10602,1751712605,102147008,base_link,69.42,0.0
2025/07/05/17:50:05.191685,10603,1751712605,202147008,base_link,69.43,0.0
2025/07/05/17:50:05.291164,10604,1751712605,301147008,base_link,69.43,0.0
2025/07/05/17:50:05.414127,10605,1751712605,424147008,base_link,69.42,0.0
2025/07/05/17:50:05.569855,10606,1751712605,581147008,base_link,69.43,0.0
2025/07/05/17:50:05.690500,10607,1751712605,701147008,base_link,69.43,0.0
2025/07/05/17:50:05.791550,10608,1751712605,802147008,base_link,69.43,0.0
2025/07/05/17:50:05.891369,10609,1751712605,901147008,base_link,69.43,0.0
2025/07/05/17:50:05.991386,10610,1751712606,2147008,base_link,69.43,0.0
2025/07/05/17:50:06.070942,10611,1751712606,80147008,base_link,69.43,0.0
2025/07/05/17:50:06.152634,10612,1751712606,160147008,base_link,69.43,0.0
2025/07/05/17:50:06.250240,10613,1751712606,260147008,base_link,69.43,0.0
2025/07/05/17:50:06.349795,10614,1751712606,360147008,base_link,69.43,0.0
2025/07/05/17:50:06.511019,10615,1751712606,522147008,base_link,69.43,0.0
2025/07/05/17:50:06.612198,10616,1751712606,621147008,base_link,69.43,0.0
2025/07/05/17:50:06.710986,10617,1751712606,721147008,base_link,69.43,0.0
2025/07/05/17:50:06.811356,10618,1751712606,821147008,base_link,69.43,0.0
2025/07/05/17:50:06.911512,10619,1751712606,921147008,base_link,69.43,0.0
2025/07/05/17:50:07.010853,10620,1751712607,21147008,base_link,69.43,0.0
2025/07/05/17:50:07.090977,10621,1751712607,102147008,base_link,69.43,0.0
