time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:49:37.112765,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.113812,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.212962,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.213750,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.213865,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.292931,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.293315,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.294234,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.393963,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.394874,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.394885,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.552053,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.553589,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.553646,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.632108,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.632533,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.633580,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.731747,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.732234,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.733283,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.831747,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.832176,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.833113,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.953913,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.954014,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:37.954042,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.034955,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.035240,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.035980,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.132120,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.132950,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.133968,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.231881,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.232251,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.233285,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.331708,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.332193,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.332726,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.513664,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.513711,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.513748,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.616759,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.616836,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.616845,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.693118,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.693358,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.693908,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.793632,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.793889,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.795001,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.872752,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.872994,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.874168,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.994451,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.994631,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:38.994665,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.072748,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.073667,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.074146,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.172593,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.173991,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.174192,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.274646,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.274946,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.275948,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.372378,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.372785,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.372874,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.532326,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.532521,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.532937,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.634341,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.634510,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.635285,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.731956,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.732158,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.732780,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.834760,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.835375,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.835775,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.931825,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.932071,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:39.933409,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.035533,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
